"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00000253" "MATCH" "1" "bli-3" "Caenorhabditis elegans" "F56C11.1" "WBGene00000253" "Gene" "bli-3 encodes an NADPH oxidases of the dual oxidase (DUOX) variety that contains an N-terminal peroxidase domain, two central calmodulin-binding EF hands, and a C-terminal superoxide-generating NADPH-oxidase domain; BLI-3 is required for dityrosine cross-linking of collagen, and thus for cuticular integrity; BLI-3 is thought to use cytosolic NADPH to generate reactive oxygen, which then drives the peroxidase ectodomain to cross-link free tyrosine in collagen; BLI-3 is expressed exclusively in hypodermal cells at low levels, with peaks of expression corresponding to collagen/cuticle biosynthesis."
"WBGene00007328" "MATCH" "1" "pho-10" "Caenorhabditis elegans" "C05C10.1" "WBGene00007328" "Gene" ""
"WBGene00003402" "MATCH" "1" "mpk-2" "Caenorhabditis elegans" "C04G6.1" "WBGene00003402" "Gene" "mpk-2 encodes a mitogen activated protein (MAP) kinase; by homology, MPK-2 is predicted to function as a serine/threonine kinase that acts downstream of a receptor tyrosine kinase in a cell signaling pathway; however, as loss of mpk-2 activity via large-scale RNAi screens does not produce any obvious abnormalities, the precise role of MPK-2 in C. elegans development and/or behavior is not yet known."
"WBGene00008410" "MATCH" "1" "D2023.6" "Caenorhabditis elegans" "D2023.6" "WBGene00008410" "Gene" "D2023.6 is orthologous to a set of uncharacterized putative proteinkinases from eukaryotes and from prokaryotes (e.g., UbiB from E. coli),and paralogous to COQ-8 from C. elegans and ABC1 (COQ8) from S.cerevisiae; like COQ-8, D2023.6 may be involved in ubiquinone (coenzymeQ9) biosynthesis."
"WBGene00011606" "MATCH" "1" "tmed-12" "Caenorhabditis elegans" "T08D2.1" "WBGene00011606" "Gene" ""
"WBGene00086546" "MATCH" "1" "cil-1" "Caenorhabditis elegans" "C50C3.7" "WBGene00086546" "Gene" ""
"WBGene00015525" "MATCH" "1" "rha-2" "Caenorhabditis elegans" "C06E1.10" "WBGene00015525" "Gene" "rha-2 encodes a DEAH helicase orthologous to the Drosophila KURZ, the human KIAA1517, and the S. cerevisiae ECM16 proteins; rha-2 functions in a number of different biological processes, including germline development, body wall muscle organization, and adult lifespan determination; RHA-2 can be phosphorylated by murine ERK2 in vitro, suggesting that it is a substrate for the RTK-RAS-ERK pathway in vivo."
"WBGene00010990" "MATCH" "1" "tceb-3" "Caenorhabditis elegans" "R03D7.4" "WBGene00010990" "Gene" ""
"WBGene00017826" "MATCH" "1" "tag-340" "Caenorhabditis elegans" "F26F4.4" "WBGene00017826" "Gene" ""
"WBGene00010872" "MATCH" "1" "M05B5.4" "Caenorhabditis elegans" "M05B5.4" "WBGene00010872" "Gene" "The M05B5.4 gene encodes an ortholog of the human gene LECITHIN-CHOLESTEROL ACYLTRANSFERASE (LCAT; OMIM:606967), which when mutated leads to lecithin-cholesterol acyltransferase deficiency (OMIM:245900)."
"WBGene00015099" "MATCH" "1" "ggtb-1" "Caenorhabditis elegans" "B0280.1" "WBGene00015099" "Gene" ""
"WBGene00017277" "MATCH" "1" "F09C12.2" "Caenorhabditis elegans" "F09C12.2" "WBGene00017277" "Gene" "F09C12.2 encodes a kinase most closely related to mitogen-activated protein (MAP) kinases; as loss of F09C12.2 activity via mutation or large-scale RNAi results in no obvious defects, the precise role of F09C12.2 in C. elegans development and/or behavior is not yet known."
"WBGene00021888" "MATCH" "1" "manf-1" "Caenorhabditis elegans" "Y54G2A.23" "WBGene00021888" "Gene" "Y54G2A.23 is orthologous to the human genes CDNF (Conserved Dopamine Neurotrophic Factor), also known as ARMETL1 (Arginine-Rich Protein Mutated In Early Stage Tumors-Like 1) and MANF (Mesencephalic Astrocyte-derived Neurotrophic Factor); CDNF is involved in the survival and function of dopaminergic neurons."
"WBGene00017158" "MATCH" "1" "hpo-10" "Caenorhabditis elegans" "F01F1.1" "WBGene00017158" "Gene" ""
"WBGene00022739" "MATCH" "1" "toe-1" "Caenorhabditis elegans" "ZK430.1" "WBGene00022739" "Gene" ""
"WBGene00011054" "MATCH" "1" "arrd-13" "Caenorhabditis elegans" "R06B9.3" "WBGene00011054" "Gene" ""
"WBGene00011052" "MATCH" "1" "arrd-11" "Caenorhabditis elegans" "R06B9.1" "WBGene00011052" "Gene" ""
"WBGene00009771" "MATCH" "1" "F46B6.6" "Caenorhabditis elegans" "F46B6.6" "WBGene00009771" "Gene" ""
"WBGene00001331" "MATCH" "1" "erd-2.1" "Caenorhabditis elegans" "F09B9.3" "WBGene00001331" "Gene" "erd-2 encodes a protein with homology to human ER lumen protein retaining receptor 1."
"WBGene00000485" "MATCH" "1" "che-3" "Caenorhabditis elegans" "F18C12.1" "WBGene00000485" "Gene" "che-3 encodes a dynein heavy chain (DHC) 1b isoform that affects the establishment and maintainance of the structural integrity of sensory cilia, and that also has a role in intraflagellar transport; CHE-3 is expressed in ciliated sensory neurons."
"WBGene00007237" "MATCH" "1" "C01G10.10" "Caenorhabditis elegans" "C01G10.10" "WBGene00007237" "Gene" ""
"WBGene00004880" "MATCH" "1" "smg-2" "Caenorhabditis elegans" "Y48G8AL.6" "WBGene00004880" "Gene" ""
"WBGene00012464" "MATCH" "1" "arrd-7" "Caenorhabditis elegans" "Y17G7B.11" "WBGene00012464" "Gene" ""
"WBGene00012348" "MATCH" "1" "pptr-1" "Caenorhabditis elegans" "W08G11.4" "WBGene00012348" "Gene" "pptr-1 encodes a PP2A holoenzyme regulatory subunit, a member of the B56 family of genes  homologous to mammalian PPP2R5B (OMIM: 601644); out of the seven PP2A regulatory subunits only pptr-1 regulates dauer formation downstream of daf-2;pptr-1 controls dauer formation specifically through the IIS pathway; pptr-1 regulates multiple phenotypes associated with the IIS pathways like stress resistance and life span; genetically pptr-1 is at the level of or downstream of akt-1 in IIS pathway; PPTR-1/mammalian B56beta regulatory subunit function to modulate AKT-1 phosphorylation in a conserved manner across phylogeny; changes in PPTR-1 levels affect the activity of AKT-1 and as a result, modulate DAF-16 subcellular localization; PPTR-1 positively regulates DAF-16 nuclear localization and thereby its activity on transcriptional targets; PPTR1 expression is predominantly cytosolic and overlaps with AKT-2  in pharynx, head neurons, nerve ring, spermathecae and vulva."
"WBGene00012467" "MATCH" "1" "arrd-8" "Caenorhabditis elegans" "Y17G7B.14" "WBGene00012467" "Gene" ""
"WBGene00013683" "MATCH" "1" "zoo-1" "Caenorhabditis elegans" "Y105E8A.26" "WBGene00013683" "Gene" "zoo-1 encodes a protein ortholog of the zonula occludens (ZO) subfamily of membrane-associated guanylate kinases (MAGUKs); zoo-1 is involved in the recruitment of actin to cell junctions in a hmr-1/cadherin dependant manner; genetic interaction studies indicate that zoo-1 acts together with hmp-1/alpha-catenin and hmp-2/beta-catenin for the proper organization of actin at epidermal junctions during epthelial morphogenesis; consistant with these roles, zoo-1 expression is enriched at epidermal cell borders; zoo-1 is also expressed in myoblasts and mature muscle cells."
"WBGene00020649" "MATCH" "1" "sma-10" "Caenorhabditis elegans" "T21D12.9" "WBGene00020649" "Gene" "sma-10 encodes a protein containing leucine rich-repeats and immunoglobulin-like domains that is a member of the LRIG family of transmembrane proteins; sma-10 functions to regulate the TGFbeta signaling pathway that controls body size; consistent with genetic epistasis analysis suggesting that SMA-10 acts between the DBL-1/TGFbeta ligand and the SMA-6/TGFbeta receptor in the SMA-6/DAF-4 signaling pathway, SMA-10 physically interacts with both the SMA-6 and DAF-4 TGFbeta receptors in vitro; a SMA-10::GFP translational fusion protein is expressed in the hypodermis and in pharyngeal muscle and is required in the hypodermis for regulating body size."
"WBGene00016152" "MATCH" "1" "pho-12" "Caenorhabditis elegans" "C27A2.4" "WBGene00016152" "Gene" ""
"WBGene00020086" "MATCH" "1" "npr-24" "Caenorhabditis elegans" "R106.2" "WBGene00020086" "Gene" ""
"WBGene00021296" "MATCH" "1" "Y25C1A.13" "Caenorhabditis elegans" "Y25C1A.13" "WBGene00021296" "Gene" ""
"WBGene00021073" "MATCH" "1" "nol-2" "Caenorhabditis elegans" "W07E6.1" "WBGene00021073" "Gene" ""
"WBGene00013207" "MATCH" "1" "zipt-2.3" "Caenorhabditis elegans" "Y54G9A.4" "WBGene00013207" "Gene" ""
"WBGene00019428" "MATCH" "1" "dgk-5" "Caenorhabditis elegans" "K06A1.6" "WBGene00019428" "Gene" "dgk-5 encodes a putative diacylglycerol kinase, orthologous toDrosophila RDGA, and to human DGKI (OMIM:604072) and DGKZ (OMIM:601441);DGK-5 has no obvious function in mass RNAi assays."
"WBGene00013447" "MATCH" "1" "nars-2" "Caenorhabditis elegans" "Y66D12A.23" "WBGene00013447" "Gene" ""
"WBGene00015865" "MATCH" "1" "C16E9.1" "Caenorhabditis elegans" "C16E9.1" "WBGene00015865" "Gene" ""
"WBGene00018340" "MATCH" "1" "anmt-2" "Caenorhabditis elegans" "F42A10.3" "WBGene00018340" "Gene" ""
"WBGene00021507" "MATCH" "1" "Y41D4A.5" "Caenorhabditis elegans" "Y41D4A.5" "WBGene00021507" "Gene" ""
"WBGene00000269" "MATCH" "1" "bre-4" "Caenorhabditis elegans" "Y73E7A.7" "WBGene00000269" "Gene" "bre-4 encodes a beta-1,4-N-acetylgalactosaminyltransferase that is required for the toxicity of Bacillus thuringiensis Cry5B."
"WBGene00009993" "MATCH" "1" "F53F4.11" "Caenorhabditis elegans" "F53F4.11" "WBGene00009993" "Gene" ""
"WBGene00009998" "MATCH" "1" "klf-2" "Caenorhabditis elegans" "F53F8.1" "WBGene00009998" "Gene" "klf-2 encodes one of three C. elegans Kruppel-like transcription factors; KLF-2 is homologous to human WT1, which when mutated leads to Wilms tumour (OMIM:194070)."
